Comunidad ; Delitos
Andalucia ; 409.392
Aragon ; 51.199
Asturias ; 28.481
Baleares ; 70.162
Canarias ; 93.965
Cantabria ; 17.486
Castilla y Leon ; 84.507
Castilla la Mancha ; 71.600
C.Valenciana ; 287.156
Extremadura ; 30.015
Galicia ; 77.546
C.Madrid ; 401.855
Murcia ; 57.768
Navarra ; 12.298
Ceuta ; 5.974
Melilla ; 4.652
España Total ; 1.745.913
