Country ; Number
EEUU ; 2.121.600
China ; 1.649.804
Brasil ; 700.489
Rusia ; 567.789
India ; 419.623
Tailandia ;372.979
Turquia ; 260.000
Indonesia ; 246.005
Iran ; 230.000
Mexico ; 204.422
Filipinas ; 188.278
Sudafrica ; 158.111
Vietnam ; 130.002
Colombia ; 119.491
Etiopia ; 113.727
